year,deaths,crashes
1908,1.0,1
1912,5.0,1
1913,45.0,3
1915,40.0,2
1916,108.0,5
1917,124.0,6
1918,65.0,4
1919,5.0,6
1920,24.0,17
1921,68.0,13
1922,80.0,11
1923,77.0,12
1924,18.0,7
1925,39.0,11
1926,30.0,12
1927,54.0,21
1928,124.0,37
1929,119.0,37
1930,138.0,24
1931,94.0,32
1932,75.0,28
1933,192.0,26
1934,126.0,30
1935,226.0,36
1936,227.0,43
1937,203.0,27
1938,414.0,51
1939,154.0,26
1940,169.0,18
1941,229.0,21
1942,363.0,32
1943,642.0,39
1944,601.0,47
1945,1314.0,69
1946,1306.0,80
1947,1233.0,76
1948,1069.0,68
1949,1085.0,60
1950,1382.0,63
1951,1166.0,69
1952,1200.0,61
1953,1188.0,62
1954,973.0,59
1955,864.0,52
1956,989.0,51
1957,1004.0,57
1958,1266.0,62
1959,1027.0,60
1960,1565.0,62
1961,1411.0,52
1962,2047.0,73
1963,1303.0,58
1964,1354.0,69
1965,1636.0,69
1966,1559.0,69
1967,1789.0,91
1968,2156.0,96
1969,1799.0,82
1970,2049.0,87
1971,1932.0,67
1972,2937.0,104
1973,2485.0,89
1974,2318.0,82
1975,1639.0,75
1976,2059.0,86
1977,2138.0,81
1978,1558.0,77
1979,2011.0,89
1980,1827.0,65
1981,1230.0,66
1982,1787.0,70
1983,1611.0,61
1984,1228.0,65
1985,2670.0,74
1986,1471.0,64
1987,1713.0,74
1988,2034.0,83
1989,2293.0,95
1990,1312.0,72
1991,1839.0,88
1992,2122.0,86
1993,1568.0,67
1994,1876.0,87
1995,1593.0,79
1996,2386.0,81
1997,1673.0,68
1998,1544.0,69
1999,970.0,78
2000,1429.0,76
2001,1398.0,70
2002,1437.0,75
2003,1276.0,61
2004,728.0,61
2005,1306.0,51
2006,1136.0,49
2007,931.0,54
2008,820.0,62
2009,581.0,24
